,time,n_servers,buffer_size,load,strategy,users,arrival_rate,departure_rate,avg_users,avg_delay,queue_size,loss_prob,Sbusy_time,Sbusy_perc,Stot_assigned,Stot_assiPerc
0,10000.870197481701,1,500,0.2,random,4,0.1976827976927272,0.19728283249759776,2.809120264049124,14.228153987818756,4,0.0,1896.4071261511347,18.96242115639762,19731,100.0
1,10001.911090768628,1,500,0.4,random,14,0.3996236282973035,0.3982238957988892,8.842243549327879,22.148268194130974,14,0.0,3866.8316731822392,38.660928277508624,39842,100.02510670348984
2,10001.64644593036,1,500,0.6,random,27,0.6042005216510007,0.6015009661182228,19.95301987003882,33.05859538350247,27,0.0,5901.270961837337,59.00299509425818,60173,100.01662234042551
3,10000.497143881104,1,500,0.8,random,82,0.8182593207385541,0.8100597283762709,72.11464095012131,88.56180378126024,82,0.0,8033.201314874774,80.32801969040071,81024,100.01234415504257
4,10000.340233475925,1,500,1.0,random,410,1.0048658111012252,0.9638672060110168,209.4166888422143,208.6602693861557,410,0.0,9554.204748866363,95.53879693896677,96405,100.01037452017843
5,10000.670907948184,1,500,1.5,random,500,1.5080988204514714,0.999332953957831,473.9907677693549,462.56666763234705,500,30.42036865137249,9918.179195323155,99.17513821438247,99956,100.01000600360216
6,10000.877442589903,1,500,2.0,random,500,2.0094236846077966,0.9807139479813528,486.6355074930635,482.3361974473399,500,48.70621019108279,9944.299370308425,99.43426891683997,98097,100.01019575856444
7,10000.153111064395,1,500,2.5,random,500,2.5021616891360488,1.0009846738171149,491.7165888012101,479.2664082740197,500,57.99696267284789,9978.924486233036,99.78771700197396,100118,100.00999000999
8,10000.33348480588,1,500,3.0,random,500,3.0062997444713297,0.9968667560083384,493.714231095348,482.9595268087982,500,65.17762107503991,9973.641584050385,99.73308989349155,99709,100.01003109639885
9,10004.173298004758,1,500,0.1,random,3,0.19791740316962453,0.1976175283163372,0.8858484922972802,4.465433846118802,3,0.0,938.0496227782675,9.376583100228313,197810,100.05058168942844
10,10004.76828871293,1,500,0.2,random,6,0.39741050319832,0.3968107891592883,3.675904329746333,9.251786838528906,6,0.0,1920.2460969625756,19.19330904573709,397111,100.02518891687656
11,10002.694600190176,1,500,0.3,random,8,0.5924403610090557,0.5916405765189996,6.115815469751192,10.325713457784133,8,0.0,2927.803068949051,29.270143556051238,591912,100.01689760054072
12,10001.189060615488,1,500,0.4,random,12,0.7988050172414545,0.797605159911764,10.248957417938193,12.836967394147091,12,0.0,3934.831747014148,39.34363927294854,797813,100.0125360411182
13,10000.110617391476,1,500,0.5,random,26,0.995588987054327,0.9929890158145306,19.30460541622702,19.41232657699882,26,0.0,4908.42470695795,49.083704118448125,993114,100.0100704934542
14,10000.135844871169,1,500,0.75,random,75,1.494279700976653,1.4867798028589223,61.21452287139226,41.061990468585684,75,0.0,7359.9912038938355,73.59891223546327,1486915,100.00672585418349
15,10000.010766402678,1,500,1.0,random,483,1.9999978467217827,1.9354979161650048,337.88402858048704,171.13848534584463,483,0.81,9625.337791143007,96.25327428127908,1935616,100.00516662361149
16,10000.068457683348,1,500,1.25,random,492,2.4820830082347385,1.995586338678233,476.109895376309,235.4691739376297,492,17.61814592482173,9831.602645366986,98.31535340953666,1995717,100.00501102425336
17,10000.127658328105,1,500,1.5,random,500,2.9867618714973037,1.9831746831235613,486.0711076183415,242.04445037110585,500,31.92714610954868,9858.867034993842,98.5874117995222,1983318,100.00504235578863
18,10007.102408159231,1,500,0.06666666666666668,random,3,0.1982591882323856,0.1979594011534052,0.5731095540128213,2.884025050408768,3,0.0,628.0529019942335,6.276071497800944,198219,100.05047955577992
19,10003.689656826224,1,500,0.13333333333333333,random,5,0.399952431278177,0.3994526156929756,2.209260496575434,5.521668640598812,5,0.0,1278.1857329269424,12.777143001979734,399720,100.02502502502504
20,10000.281102334144,1,500,0.2,random,6,0.5973832074186016,0.5967832242842676,4.203705856607129,7.040586357540428,6,0.0,1959.0165732419384,19.589615063767443,596921,100.0167560321716
21,10001.860340092237,1,500,0.26666666666666666,random,9,0.7985514422736225,0.7976516096730888,5.880557976583352,7.36673510643084,9,0.0,2627.1010766230747,26.26612437380672,797922,100.01253446979193
22,10001.32207682108,1,500,0.3333333333333333,random,13,0.9967682195840898,0.9954683914313568,9.981244073726273,10.018337353732132,13,0.0,3285.0385213899726,32.84604271472599,995723,100.01004419445559
23,10000.93913181533,1,500,0.5,random,26,1.4812608900771325,1.4786611342284754,21.267657426264158,14.367440089337313,26,0.0,4881.111261241548,48.806529035994124,1478924,100.00676223965375
24,10000.43374370204,1,500,0.6666666666666666,random,50,1.9952134588727992,1.9902136757352442,43.24332694085144,21.689882455079502,50,0.0,6553.276762852671,65.52992530928691,1990425,100.00502436818572
25,10000.106419576303,1,500,0.8333333333333334,random,152,2.485473549695793,2.4702737114518274,116.64785256263274,47.0222181269357,152,0.0,8139.1871126822425,81.39100496719603,2470426,100.00404809132496
26,10000.132437272878,1,500,1.0,random,483,3.0078601647202587,2.8913617075940543,388.6369334731498,133.03705424688695,483,2.267362611788956,9585.008580462329,95.84881640903791,2891427,100.0
