,time,n_servers,buffer_size,load,strategy,users,arrival_rate,departure_rate,avg_users,avg_delay,queue_size,loss_prob,Sbusy_time1,Sbusy_perc1,Stot_assigned1,Stot_assiPerc1,Sbusy_time2,Sbusy_perc2,Stot_assigned2,Stot_assiPerc2
0,5004.066229238526,2,500,0.2,random,221,0.19703975823478276,0.15287567449250386,130.78387757631864,670.7777221991357,221,0.0,3782.4459624721217,75.58744807115994,2191,28.62745098039216,3716.1813412472607,74.26323255942913,5472,71.5032679738562
1,5002.823892032845,2,500,0.4,random,500,0.4047713938571527,0.08735066622991393,396.29703521957765,1841.0009126600914,500,53.72839506172839,4556.565803472013,91.07987612213344,3783,86.49885583524029,528.9176335652145,10.572381618460179,614,13.958810068649885
2,5001.093939933636,2,500,0.6,random,500,0.5902708558278297,0.18156027679257086,426.0078706697029,1865.0193880243432,500,52.30352303523036,4981.676344323505,99.61173303594472,5445,59.91189427312775,4651.64473742354,93.01254472107095,3666,40.308370044052865
3,5001.256651172109,2,500,0.8,random,500,0.7973995893742748,0.2275428116118166,446.3609535634948,1699.1217619159463,500,58.926780341023075,4904.9995069764145,98.07534084112378,5027,44.11247803163445,4980.7397689950985,99.58976546080255,6388,56.06326889279438
4,5002.46810418123,2,500,1.0,random,500,0.9865130366099012,0.10954592584847532,462.6556668662149,2590.1719220638433,500,78.76393110435663,296.4644700194765,5.926364023624289,619,11.13138686131387,4942.349286598905,98.79821687354536,48910,89.23357664233576
5,5000.07408291858,2,500,1.5,random,499,1.5031777280413523,0.19539710488243767,478.1351266416594,1732.221686069863,499,80.36189462480043,4993.834856004093,99.87521731056344,53111,54.350051177072665,4999.3940427270645,99.98639939768415,44812,45.8546571136131
6,5001.375896778868,2,500,2.0,random,500,2.0146456111186204,0.26292764773928,484.51879603372976,1340.0253592078373,500,81.98689956331877,4729.925106507636,94.57247773665523,58513,44.48669201520912,4967.1137216010275,99.31494500943417,73214,55.665399239543724
7,5000.235268426397,2,500,2.5,random,500,2.5290809974187014,0.204590373268965,488.34440379283274,1781.2219310350501,500,87.95666613949076,4776.491800705575,95.52534119477072,75515,73.80254154447701,4233.578991443543,84.66759590645967,27016,26.392961876832853
8,5000.038230711695,2,500,3.0,random,500,3.0003770586899385,0.14099892190217347,491.076174274352,1887.6318282867974,500,91.967737634982,139.25578051724574,2.7850943151173535,1217,1.702127659574468,4555.8334371148685,91.11597205660568,69518,98.58156028368795
9,5002.036404892995,2,500,0.1,random,1,0.1961201240039727,0.1959202054270064,0.38479913950225947,1.964060514654898,1,0.0,970.1868925008818,19.395838294016517,49819,50.81632653061224,923.2640479581895,18.457763463197747,48320,49.28571428571429
