,time,n_servers,buffer_size,load,strategy,users,arrival_rate,departure_rate,avg_users,avg_delay,queue_size,loss_prob,Sbusy_time1,Sbusy_perc1,Stot_assigned1,Stot_assiPerc1,Sbusy_time2,Sbusy_perc2,Stot_assigned2,Stot_assiPerc2
0,5008.153047206905,2,1,0.2,random,1,0.20227017634074893,0.17331738703234956,0.168714148782461,0.9734404128246558,1,14.215202369200394,423.5639478401481,8.457488096861852,4431,51.03686635944701,421.38233049165314,8.413926781384246,4262,49.07834101382488
1,5000.510793094629,2,1,0.4,random,1,0.4013589977190996,0.2963697232783785,0.2903522598930566,0.979696092708938,1,26.10861983059293,740.7516309649736,14.813519290627312,7543,50.877192982456144,711.1579784296725,14.221706698678346,7294,49.19028340080972
2,5003.9284574300455,2,1,0.6,random,1,0.6051245587861865,0.39009350685291816,0.3805556271264152,0.9755497603550238,1,35.50198150594452,953.0626607386976,19.04628870789608,9965,51.024590163934434,951.2104714743097,19.00927400474544,9576,49.026639344262286
3,5000.410778108583,2,1,0.8,random,1,0.8111333608344455,0.4585623265269684,0.4496818152242885,0.9806340146388856,1,43.44181459566075,1141.9841970340774,22.837807686392434,11737,51.155691234191025,1106.6095985328877,22.130373836036426,11218,48.88791975577846
4,5000.128507333297,2,1,1.0,random,1,1.005974144989052,0.502987072494526,0.4941395473708029,0.9810264907710528,1,49.980119284294226,1260.1159896562747,25.20167207319093,12879,51.17296222664016,1207.1656346329232,24.142692190060064,122910,48.86679920477138
5,5000.223954739882,2,1,1.5,random,1,1.489133300307816,0.5995731445504744,0.597592438293795,0.9966964726911436,1,59.72334139135106,1477.2309675790093,29.54329607934244,149311,49.799866577718475,1510.8650575490399,30.215947750037063,150612,50.23348899266178
6,5000.432810823033,2,1,2.0,random,0,1.9946273407398019,0.6767414197978233,0.6595429302473624,0.9745863204950586,0,66.07178664527773,1649.482376396781,32.98679211980632,170713,50.443262411347526,1648.5177321584972,32.96750090492994,167714,49.556737588652474
7,5000.0205809469535,2,1,2.5,random,1,2.509589670053625,0.7173970470578861,0.7170143585091601,0.9994503932537308,1,71.40580172138985,1814.1077385346528,36.28200542708724,177815,49.56788402564818,1770.920822066479,35.41827065301969,181016,50.459994424310004
8,5000.191786747099,2,1,3.0,random,1,3.0228840501802314,0.7615707881631705,0.7459528337204381,0.9788269772510558,1,74.7998676811115,1889.0996617401809,37.78054407327335,193517,50.814075630252105,1838.2734676318394,36.76405918077268,187418,49.212184873949575
9,5000.383800859802,2,1,0.1,random,1,0.1983847719507907,0.18378589256328293,0.08902093815924599,0.4843730762881783,1,7.258064516129032,225.61502608809673,4.511954183382942,46919,51.03373231773667,219.5238310207392,4.3901396325416595,45120,49.07508161044613
10,5002.09038406835,2,1,0.2,random,1,0.3974338421256394,0.3376588326711293,0.16430119660684928,0.4865893639064797,1,14.989939637826962,391.3611225857863,7.823951439027786,84421,49.97039668442866,430.4883130522582,8.606168221657143,84622,50.08880994671403
11,5002.4032430100815,2,1,0.3,random,1,0.5967131906391147,0.4655762214400328,0.22764840596541006,0.4889605514244065,1,21.943048576214405,537.2989004525266,10.740815451119436,112723,48.38986689566339,601.4902238149161,12.024025145421565,120324,51.65306998711893
12,5001.293356215738,2,1,0.4,random,1,0.8053916683359309,0.5860484061302418,0.2859119487512992,0.4878640497279314,1,27.209533267130087,716.6976566966506,14.330246311305057,147925,50.46059365404299,713.2318730559165,14.260948563824863,145326,49.57352439440464
13,5001.380582332011,2,1,0.5,random,1,1.0017234076723611,0.6776128999204855,0.3305455320466543,0.4878087947933727,1,32.33532934131737,835.5736955221092,16.70686087105383,171527,50.604898200059004,817.6103100326308,16.347692333611633,167528,49.424609029212164
14,5000.926831844004,2,1,0.75,random,1,1.5085203710565556,0.8644397619402824,0.4287679768826824,0.4960067731270126,1,42.68292682926829,1087.3177311864163,21.742324328018366,217629,50.33541522091141,1056.9195490416591,21.134473360249885,214830,49.68771686328938
15,5000.262165036474,2,1,1.0,random,0,1.9874957896187644,0.9957477899488656,0.4925971957468013,0.4947007673219114,0,49.89937613201853,1254.1611369779132,25.081907619713007,253231,50.85358505724041,1208.9539835178864,24.177811954967122,244732,49.14641494275959
16,5000.22999571043,2,1,1.25,random,1,2.5080846302587294,1.1245482717442656,0.5478220558976231,0.4871485463651166,1,55.155091300534245,1366.1382008904673,27.321507251915257,286033,50.862528899164154,1373.0980753205838,27.460698337847052,276434,49.15525520184955
17,5000.279774681885,2,1,1.5,random,1,2.9948324243422366,1.2007328130718389,0.5978010108417849,0.4978634749827721,1,59.89983305509182,1492.3139135526483,29.844608317893343,300235,50.0,1496.8583902439152,29.935492766285147,300336,50.01665556295803
18,5001.389824930013,2,1,0.06666666666666668,random,1,0.1983448670718007,0.18834764594923006,0.060581306125743,0.32164620810855765,1,4.939516129032258,150.5300819163178,3.0097650290321907,47537,50.424628450106155,152.46064612194346,3.0483655835421093,46838,49.68152866242039
19,5004.628940514838,2,1,0.13333333333333333,random,1,0.3940352068933078,0.35307312909760385,0.1140404115976496,0.32299374322004604,1,10.344827586206897,270.44267088916274,5.403850597190162,87739,49.63214487832485,300.28727338065846,6.000190562574798,89140,50.4244482173175
20,5003.014308516958,2,1,0.2,random,1,0.6026366934164806,0.5074940512717891,0.16665508950888855,0.32838826207173843,1,15.754560530679932,403.8734050301217,8.072601438348514,126641,49.862150452934216,429.9043923700221,8.592907512540343,127442,50.17723513194171
