,time,n_servers,buffer_size,load,strategy,users,arrival_rate,departure_rate,avg_users,avg_delay,queue_size,loss_prob,Sbusy_time,Sbusy_perc,Stot_assigned,Stot_assiPerc
0,10000.870197481701,1,100000,0.2,random,4,0.1976827976927272,0.19728283249759776,2.809120264049124,14.228153987818756,4,0.0,1896.4071261511347,18.96242115639762,19731,100.0
1,10001.911090768628,1,100000,0.4,random,14,0.3996236282973035,0.3982238957988892,8.842243549327879,22.148268194130974,14,0.0,3866.8316731822392,38.660928277508624,39842,100.02510670348984
2,10001.64644593036,1,100000,0.6,random,27,0.6042005216510007,0.6015009661182228,19.95301987003882,33.05859538350247,27,0.0,5901.270961837337,59.00299509425818,60173,100.01662234042551
3,10000.497143881104,1,100000,0.8,random,82,0.8182593207385541,0.8100597283762709,72.11464095012131,88.56180378126024,82,0.0,8033.201314874774,80.32801969040071,81024,100.01234415504257
4,10000.340233475925,1,100000,1.0,random,410,1.0048658111012252,0.9638672060110168,209.4166888422143,208.6602693861557,410,0.0,9554.204748866363,95.53879693896677,96405,100.01037452017843
5,10000.001133630672,1,100000,1.5,random,5122,1.5182998278808746,1.0060998859454309,2533.3500551668635,1664.8190972339978,5122,0.0,9997.311813909164,99.97310680583358,100626,100.00993936984396
6,10000.076939690964,1,100000,2.0,random,10217,2.007884551398313,0.9861924122660568,5060.719055199893,2500.07204972298,10217,0.0,10000.076939690964,100.07,98637,100.01013993104849
7,10000.003631358764,1,100000,2.5,random,15000,2.499899092196953,0.9998996369005692,7615.339961654781,3049.626822457053,15000,0.0,10000.003631358764,100.08,100008,100.0100010001
8,10000.583614845233,1,100000,3.0,random,19991,3.0060245639439347,1.0070412275789824,10121.059493625891,3374.819952911121,19991,0.0,9999.37989464658,99.98796350048146,100729,100.00992950054614
9,10004.173298004758,1,100000,0.1,random,3,0.19791740316962453,0.1976175283163372,0.8858484922972802,4.465433846118802,3,0.0,938.0496227782675,9.376583100228313,197810,100.05058168942844
10,10004.76828871293,1,100000,0.2,random,6,0.39741050319832,0.3968107891592883,3.675904329746333,9.251786838528906,6,0.0,1920.2460969625756,19.19330904573709,397111,100.02518891687656
11,10002.694600190176,1,100000,0.3,random,8,0.5924403610090557,0.5916405765189996,6.115815469751192,10.325713457784133,8,0.0,2927.803068949051,29.270143556051238,591912,100.01689760054072
12,10001.189060615488,1,100000,0.4,random,12,0.7988050172414545,0.797605159911764,10.248957417938193,12.836967394147091,12,0.0,3934.831747014148,39.34363927294854,797813,100.0125360411182
13,10000.110617391476,1,100000,0.5,random,26,0.995588987054327,0.9929890158145306,19.30460541622702,19.41232657699882,26,0.0,4908.42470695795,49.083704118448125,993114,100.0100704934542
14,10000.135844871169,1,100000,0.75,random,75,1.494279700976653,1.4867798028589223,61.21452287139226,41.061990468585684,75,0.0,7359.9912038938355,73.59891223546327,1486915,100.00672585418349
15,10000.20778447142,1,100000,1.0,random,563,1.9983584772140104,1.9420596470162776,348.40067328300825,175.31226511658343,563,0.0,9626.3846538848,96.26184636716145,1942216,100.00514906544464
16,10000.019044824829,1,100000,1.25,random,4798,2.493095251943764,2.013296165712719,2392.939315186638,958.4637146581456,4798,0.0,9998.574495644543,99.98555453570829,2013417,100.00496696965182
17,10000.251638321912,1,100000,1.5,random,9942,3.0040244072339184,2.0098494244863527,5003.130574669306,1665.9270722248998,9942,0.0,9998.906978461158,99.98655373975193,2010018,100.00497537190904
18,10007.102408159231,1,100000,0.06666666666666668,random,3,0.1982591882323856,0.1979594011534052,0.5731095540128213,2.884025050408768,3,0.0,628.0529019942335,6.276071497800944,198219,100.05047955577992
19,10003.689656826224,1,100000,0.13333333333333333,random,5,0.399952431278177,0.3994526156929756,2.209260496575434,5.521668640598812,5,0.0,1278.1857329269424,12.777143001979734,399720,100.02502502502504
20,10000.281102334144,1,100000,0.2,random,6,0.5973832074186016,0.5967832242842676,4.203705856607129,7.040586357540428,6,0.0,1959.0165732419384,19.589615063767443,596921,100.0167560321716
21,10001.860340092237,1,100000,0.26666666666666666,random,9,0.7985514422736225,0.7976516096730888,5.880557976583352,7.36673510643084,9,0.0,2627.1010766230747,26.26612437380672,797922,100.01253446979193
22,10001.32207682108,1,100000,0.3333333333333333,random,13,0.9967682195840898,0.9954683914313568,9.981244073726273,10.018337353732132,13,0.0,3285.0385213899726,32.84604271472599,995723,100.01004419445559
23,10000.93913181533,1,100000,0.5,random,26,1.4812608900771325,1.4786611342284754,21.267657426264158,14.367440089337313,26,0.0,4881.111261241548,48.806529035994124,1478924,100.00676223965375
24,10000.43374370204,1,100000,0.6666666666666666,random,50,1.9952134588727992,1.9902136757352442,43.24332694085144,21.689882455079502,50,0.0,6553.276762852671,65.52992530928691,1990425,100.00502436818572
25,10000.106419576303,1,100000,0.8333333333333334,random,152,2.485473549695793,2.4702737114518274,116.64785256263274,47.0222181269357,152,0.0,8139.1871126822425,81.39100496719603,2470426,100.00404809132496
26,10000.151636791192,1,100000,1.0,random,793,3.0042544444496118,2.9249556469111324,470.9771174189197,157.50675804448764,793,0.0,9694.713671673744,96.94566666375616,2925127,100.00341880341878
