,time,n_servers,buffer_size,load,strategy,users,arrival_rate,departure_rate,avg_users,avg_delay,queue_size,loss_prob,Sbusy_time1,Sbusy_perc1,Stot_assigned1,Stot_assiPerc1,Sbusy_time2,Sbusy_perc2,Stot_assigned2,Stot_assiPerc2
0,1004.9640387960923,2,1,0.2,random,1,0.19204667286523652,0.16219485843022569,0.1534338127709248,0.9459844427616688,1,15.025906735751295,85.66781276552496,8.524465499099021,831,50.92024539877301,68.52765140462705,6.818915777993463,812,49.69325153374234
1,1000.125174359494,2,1,0.4,random,1,0.4039494358880947,0.2939632033443065,0.29863789361235943,1.0159022973449423,1,26.980198019801986,145.83726168952037,14.581900888848066,1353,45.91836734693877,152.83801372989262,15.281888472387871,1604,54.421768707483
2,1000.5870322436064,2,1,0.6,random,1,0.6336280399101196,0.4087600446738784,0.4056071720169275,0.9922867396213676,1,35.33123028391167,216.12518101252084,21.599838299713465,2085,50.8557457212714,189.72009549261864,18.96087890197929,2026,49.38875305623472
3,1000.9311093527162,2,1,0.8,random,1,0.8422158049869712,0.4575739486168835,0.4598914134388537,1.0050646782426649,1,45.55160142348755,229.88191062175457,22.96680645388421,2307,50.21834061135371,230.43771201338598,23.022334890001147,2298,50.0
4,1002.2455279963448,2,1,1.0,random,1,0.9917729460835519,0.4869066375138565,0.4961073995996877,1.0188963578989398,1,50.80482897384306,270.369919645982,26.97641566797473,2479,50.614754098360656,226.85150300870072,22.634324291994048,24210,49.59016393442622
5,1001.2704244797118,2,1,1.5,random,1,1.4341779851793643,0.6042323684077405,0.5937899524829711,0.9827178806188632,1,57.79944289693594,281.6475238501611,28.12901659374509,29611,48.925619834710744,312.8967939242524,31.24997865455202,31012,51.239669421487605
6,1000.649035924708,2,1,2.0,random,1,1.9977034187143423,0.6965479153796382,0.6605158328799172,0.9482704897909536,1,65.08254127063532,328.9310863032208,32.871773668302474,35013,50.21520803443329,332.0134450810738,33.17980961968923,34814,49.92826398852225
7,1000.2213672922536,2,1,2.5,random,0,2.5444367449274647,0.753833126002086,0.722689595106416,0.9586864389193956,0,70.37328094302553,386.8086298696082,38.67230220413669,37915,50.265251989389924,336.0409450756161,33.59665730650492,37516,49.734748010610076
8,1000.030217616488,2,1,3.0,random,1,2.99290956140669,0.7529772468223314,0.7605245881002847,1.0100233324576595,1,74.80788506515202,366.74929559460946,36.673821363991806,37817,50.199203187250994,393.7982737460081,39.37863744603664,37618,49.933598937583
9,1000.2788281265002,2,1,0.1,random,0,0.1809495461770484,0.16895289118188495,0.07701337575578407,0.4558275103613106,0,6.629834254143647,45.29747866578069,4.528485197534557,9019,53.254437869822475,31.737370585280818,3.172852378043848,7920,46.745562130177525
10,1000.8045070110311,2,1,0.2,random,1,0.3946824751815853,0.3417250797774739,0.1603683846567066,0.4692906495512007,1,13.164556962025314,81.27922066432673,8.12138835256373,16421,47.95321637426901,79.21818148218387,7.915450113106926,17922,52.33918128654971
11,1000.638896490838,2,1,0.3,random,1,0.6026149913966703,0.476695440955575,0.22746789980326984,0.4771765791325628,1,20.729684908789388,113.03267410130867,11.296050403167955,22423,46.9601677148847,114.58055414492377,11.450739577159027,25424,53.249475890985316
12,1000.4744928940567,2,1,0.4,random,1,0.8306058834105601,0.5917192334284614,0.3062438225712091,0.5175492112987633,1,28.640192539109503,160.62078168031837,16.05446044063484,29225,49.32432432432432,145.7683514085495,14.569921816486064,30126,50.844594594594604
13,1000.0532648368784,2,1,0.5,random,0,1.0059464184281142,0.6819636753160773,0.3363907691993377,0.4932678694996869,0,32.20675944333996,174.4226152924194,17.44133251951035,33527,49.12023460410557,161.98607170636708,16.197744400423424,34728,50.87976539589443
14,1000.415945180614,2,1,0.75,random,1,1.4933788362702225,0.8806337046546625,0.4205845502116756,0.4775930650719375,1,40.96385542168674,220.73371025153506,22.06419353019048,44529,50.51078320090806,200.02578007684195,19.994261490977085,43730,49.60272417707151
15,1000.028344891526,2,1,1.0,random,1,1.9439448990927024,0.9919718826645888,0.489574849927613,0.4931801446012043,1,48.91975308641975,263.43882012208485,26.34313531889541,50431,50.806451612903224,225.79588332230995,22.578948334389683,48932,49.29435483870968
16,1000.5919155074736,2,1,1.25,random,0,2.49652226975378,1.127332714284333,0.5453403056541128,0.4837438838988297,0,54.84387510008006,283.81129378183687,28.364340085427877,57733,51.15248226950354,261.85180725604306,26.16969047998342,55134,48.84751773049646
17,1000.4844647987993,2,1,1.5,random,1,2.95756716281953,1.1964203764430474,0.5971316691680602,0.4983091812999346,1,59.51334910442718,281.21715983858223,28.108098599525583,58535,48.872180451127825,315.25893017743954,31.510627228063885,61336,51.211361737677535
18,1008.3785697504616,2,1,0.06666666666666668,random,1,0.1824711527194926,0.1735459332929957,0.05191377983179536,0.2991356746121495,1,4.3478260869565215,29.357452892469535,2.911352320759337,9037,51.42857142857143,22.991290164656668,2.280025662420236,8638,49.14285714285714
