,time,n_servers,buffer_size,load,strategy,users,arrival_rate,departure_rate,avg_users,avg_delay,queue_size,loss_prob,Sbusy_time,Sbusy_perc,Stot_assigned,Stot_assiPerc
0,1004.9640387960923,1,1,0.2,random,1,0.19204667286523652,0.16219485843022569,0.1534338127709248,0.9459844427616688,1,15.025906735751295,154.1954641701521,15.343381277092481,1641,100.61349693251532
1,1000.125174359494,1,1,0.4,random,1,0.4039494358880947,0.2939632033443065,0.29863789361235943,1.0159022973449423,1,26.980198019801986,298.6752754194132,29.86378936123595,2952,100.34013605442176
2,1000.5870322436064,1,1,0.6,random,1,0.6336280399101196,0.4087600446738784,0.4056071720169275,0.9922867396213676,1,35.33123028391167,405.8452765051394,40.56071720169274,4103,100.24449877750612
3,1000.9311093527162,1,1,0.8,random,1,0.8422158049869712,0.4575739486168835,0.4598914134388537,1.0050646782426649,1,45.55160142348755,460.3196226351404,45.98914134388536,4594,100.21834061135372
4,1002.2455279963448,1,1,1.0,random,1,0.9917729460835519,0.4869066375138565,0.4961073995996877,1.0188963578989398,1,50.80482897384306,497.2214226546826,49.610739959968775,4895,100.20491803278688
5,1001.2704244797118,1,1,1.5,random,1,1.4341779851793643,0.6042323684077405,0.5937899524829711,0.9827178806188632,1,57.79944289693594,594.5443177744124,59.378995248297116,6066,100.16528925619836
6,1000.649035924708,1,1,2.0,random,1,1.9977034187143423,0.6965479153796382,0.6605158328799172,0.9482704897909536,1,65.08254127063532,660.9445313842947,66.05158328799172,6987,100.1434720229555
7,1000.2213672922536,1,1,2.5,random,0,2.5444367449274647,0.753833126002086,0.722689595106416,0.9586864389193956,0,70.37328094302553,722.8495749452243,72.2689595106416,7548,100.0
8,1000.030217616488,1,1,3.0,random,1,2.99290956140669,0.7529772468223314,0.7605245881002847,1.0100233324576595,1,74.80788506515202,760.5475693406177,76.05245881002845,7549,100.132802124834
9,1000.2788281265002,1,1,0.1,random,0,0.1809495461770484,0.16895289118188495,0.07701337575578407,0.4558275103613106,0,6.629834254143647,77.0348492510615,7.701337575578407,16910,100.0
10,1000.8045070110311,1,1,0.2,random,1,0.3946824751815853,0.3417250797774739,0.1603683846567066,0.4692906495512007,1,13.164556962025314,160.49740214651064,16.03683846567066,34311,100.29239766081871
11,1000.638896490838,1,1,0.3,random,1,0.6026149913966703,0.476695440955575,0.22746789980326984,0.4771765791325628,1,20.729684908789388,227.61322824623244,22.746789980326984,47812,100.20964360587006
12,1000.4744928940567,1,1,0.4,random,1,0.8306058834105601,0.5917192334284614,0.3062438225712091,0.5175492112987633,1,28.640192539109503,306.38913308886794,30.62438225712091,59313,100.16891891891892
13,1000.0532648368784,1,1,0.5,random,0,1.0059464184281142,0.6819636753160773,0.3363907691993377,0.4932678694996869,0,32.20675944333996,336.4086869987865,33.639076919933764,68214,100.0
14,1000.415945180614,1,1,0.75,random,1,1.4933788362702225,0.8806337046546625,0.4205845502116756,0.4775930650719375,1,40.96385542168674,420.75949032837696,42.05845502116756,88215,100.11350737797956
15,1000.028344891526,1,1,1.0,random,1,1.9439448990927024,0.9919718826645888,0.489574849927613,0.4931801446012043,1,48.91975308641975,489.2347034443946,48.922083653285085,99316,100.10080645161291
16,1000.5919155074736,1,1,1.25,random,0,2.49652226975378,1.127332714284333,0.5453403056541128,0.4837438838988297,0,54.84387510008006,545.66310103788,54.53403056541129,112817,100.0
17,1000.4844647987993,1,1,1.5,random,1,2.95756716281953,1.1964203764430474,0.5971316691680602,0.4983091812999346,1,59.51334910442718,596.4760900160218,59.61872582758945,119818,100.08354218880535
18,1008.3785697504616,1,1,0.06666666666666668,random,1,0.1824711527194926,0.1735459332929957,0.05191377983179536,0.2991356746121495,1,4.3478260869565215,52.34874305712616,5.191377983179536,17619,100.57142857142857
19,1000.2407807635876,1,1,0.13333333333333333,random,1,0.3809082846123741,0.35191526557363706,0.11304247247826615,0.32122071287246395,1,7.349081364829396,113.06969093110733,11.304247247826616,35320,100.2840909090909
20,1001.2121698189153,1,1,0.2,random,1,0.6182505753120797,0.5293583278116353,0.17447026776792854,0.3295882176619149,1,14.216478190630047,174.6817553608149,17.447026776792857,53121,100.188679245283
21,1001.0124336969087,1,1,0.26666666666666666,random,1,0.7852050319666547,0.6333587662428233,0.2083220464028688,0.3289163385843155,1,19.21119592875318,208.53295866245602,20.83220464028688,63522,100.15772870662461
22,1000.72857043687,1,1,0.3333333333333333,random,1,0.999271959991557,0.7734364970334652,0.2538030978198871,0.3281498853407554,1,22.5,253.9880112537447,25.380309781988704,77523,100.12919896640827
23,1000.4830936479224,1,1,0.5,random,1,1.4762868152170572,1.0065137595961926,0.3269017019542791,0.3247861232273965,1,31.75355450236967,327.0596260899882,32.69017019542791,100824,100.09930486593844
24,1000.2957156425998,1,1,0.6666666666666666,random,1,2.009405787276372,1.2306360816603052,0.40498684756993664,0.3290874155286842,1,38.70646766169153,405.1066085158103,40.49868475699366,123225,100.08123476848093
25,1000.3141691238487,1,1,0.8333333333333334,random,1,2.5192085424594235,1.401559673225441,0.4640332505735312,0.3310834775273185,1,44.32539682539682,464.1790354933006,46.40332505735312,140326,100.07132667617691
26,1000.00393681413,1,1,1.0,random,0,2.9809882644032792,1.5149940357500733,0.4883773914371986,0.3223625835565769,0,49.178128144917814,488.37931408821436,48.83773914371986,151527,100.0
