,time,n_servers,buffer_size,load,strategy,users,arrival_rate,departure_rate,avg_users,avg_delay,queue_size,loss_prob,Sbusy_time,Sbusy_perc,Stot_assigned,Stot_assiPerc
0,5005.575325563823,1,100000,0.2,random,871,0.203173448375876,0.02916747636467836,372.53136284322784,207.61990218678932,871,0.0,853.8785664555263,17.058549935203427,1471,100.68493150684931
1,5000.953813302552,1,100000,0.4,random,1457,0.39512462497530654,0.10378020261244136,720.3708460311308,1744.9292192471792,1457,0.0,4978.827056351164,99.5575492640518,5202,100.1926782273603
2,5002.8944482125735,1,100000,0.6,random,2529,0.5868602726665498,0.08135290564553331,1287.8897996421679,2326.2122550957456,2529,0.0,4912.718617108131,98.19752681097118,4083,100.24570024570022
3,5001.527046286275,1,100000,0.8,random,3856,0.7909584339721609,0.019993893679781626,1865.4932101633456,148.0202682674443,3856,0.0,418.254789038278,8.362541783090819,1014,101.0
4,5000.944292048332,1,100000,1.0,random,4458,0.99281249901034,0.10138085337326133,2300.555538993546,2926.9794339768596,4458,0.0,4985.726601923285,99.69570366642068,5085,100.19723865877712
5,5000.029785424702,1,100000,1.5,random,6816,1.5095910072381449,0.14639912788795995,3419.188258578732,2287.4520166765587,6816,0.0,4983.293771639366,99.6652817182384,7336,100.13661202185793
6,5000.230701577879,1,100000,2.0,random,9536,2.0229066624482144,0.1157946571979749,4732.773290921374,2330.2799930987435,9536,0.0,4995.229641759705,99.89998341843315,5807,100.17271157167532
7,5001.543253883429,1,100000,2.5,random,11743,2.5028275003481064,0.1549521738911793,5834.9804883134375,2034.7125503240368,11743,0.0,4374.421773135796,87.46144042119981,7768,100.12903225806451
8,5000.168479543228,1,100000,3.0,random,14306,3.0174983226521808,0.1563947301374606,7150.996904978681,2400.5372987480314,14306,0.0,4862.404593275474,97.24481511310319,7839,100.12787723785166
9,5002.3030986662325,1,100000,0.1,random,8,0.1965094838539668,0.19491022050622345,5.565918512339745,28.38331072096849,8,0.0,1931.3331000899545,38.608877990718064,97610,100.10256410256409
10,5001.044812791582,1,100000,0.2,random,41,0.4069149700068501,0.3987166831418472,30.73744005047547,75.91558643241896,41,0.0,3905.8958009035955,78.101595708824,199511,100.05015045135407
11,5000.045379280006,1,100000,0.3,random,575,0.6069944910054059,0.4919955347193735,308.06098280732925,522.4003378584599,575,0.0,4976.916252404436,99.53742166078298,246112,100.04065040650408
12,5000.721234222283,1,100000,0.4,random,1418,0.7944853979883734,0.5109263004934039,761.1441746893338,971.2070811703212,1418,0.0,5000.721234222284,100.01299999999999,255613,100.03913894324852
13,5000.4763878238755,1,100000,0.5,random,2676,1.0119035882903202,0.4767545759850047,1366.961389482265,1383.0258608234992,2676,0.0,4995.623340398421,99.90294829834066,238514,100.04194630872485
14,5000.082674737717,1,100000,0.75,random,5066,1.5195748739091717,0.5063916268410138,2538.990323374572,1662.0633201120404,5066,0.0,5000.082674737716,100.015,253315,100.03949447077407
15,5000.288718703593,1,100000,1.0,random,7483,1.9948848078888897,0.4983712221813648,3754.0876869876674,1887.4683247500961,7483,0.0,5000.288718703593,100.016,249316,100.04012841091492
16,5000.031432746298,1,100000,1.25,random,9879,2.4803844069412433,0.5045968278271856,4993.938333594843,2013.366293685332,9879,0.0,5000.031432746298,100.01700000000001,252417,100.03963535473642
17,5000.954447728164,1,100000,1.5,random,12339,2.983830417967269,0.5165014052814271,6169.712541957218,2080.056715167424,12339,0.0,4994.502283344147,99.87098134063294,258418,100.03871467286102
18,5003.525249993842,1,100000,0.06666666666666668,random,4,0.1972609211877595,0.1964614848303623,2.503221192370792,12.717597415386136,4,0.0,1459.8255700130753,29.17594090316366,98419,100.10172939979654
19,5000.349894505998,1,100000,0.13333333333333333,random,18,0.3997720243930025,0.3961722762994188,11.972346629493144,30.045529972399773,18,0.0,2903.5404827991424,58.0667462088869,198220,100.05047955577992
20,5000.46135108583,1,100000,0.2,random,88,0.5949451042860256,0.5773467280920189,49.53368446285778,83.97786301624645,88,0.0,4290.626886464068,85.80462051831229,288821,100.03463803255976
21,5000.642992731858,1,100000,0.26666666666666666,random,727,0.808296054302379,0.6629147501267656,368.2716991801796,457.2463271948297,727,0.0,4984.777372814825,99.68272840232562,331622,100.03016591251884
22,5000.248399375263,1,100000,0.3333333333333333,random,1721,1.0149495774318085,0.6707666763953273,884.4381635191638,890.9576488996493,1721,0.0,5000.248399375263,100.023,335523,100.02981514609422
23,5000.082103079427,1,100000,0.5,random,4213,1.5079752381178502,0.6653890739016032,2082.6074897413614,1384.0515242562008,4213,0.0,5000.082103079427,100.024,332824,100.03005710850617
24,5001.101406047545,1,100000,0.6666666666666666,random,6589,1.9889618690738131,0.6714520917211084,3348.2644190800734,1670.895372452742,6589,0.0,5001.101406047545,100.025,335925,100.02977963073258
25,5000.136779704099,1,100000,0.8333333333333334,random,9257,2.5183311086832263,0.6669817540866073,4630.939959944187,1853.094330528447,9257,0.0,4999.387063416583,99.98500608442234,333626,100.02998500749624
26,5000.204442160537,1,100000,1.0,random,11750,3.020276505629154,0.6703725895158871,5896.785355793733,1955.3723145871645,11750,0.0,4999.327773193761,99.98246733754755,335327,100.02983293556086
